frame_id,timestamp,detected_objects,predicted_zone,ground_truth_zone,alert_triggered,correct_detection,latency_ms,fps
774,2026-03-29 22:26:05.338,person-SAFE,SAFE,SAFE,True,False,37.3,58.62
775,2026-03-29 22:26:05.357,person-SAFE,SAFE,SAFE,True,False,61.23,57.62
776,2026-03-29 22:26:05.375,person-SAFE,SAFE,SAFE,True,False,61.52,56.91
777,2026-03-29 22:26:05.395,person-SAFE,SAFE,SAFE,True,False,46.21,53.5
778,2026-03-29 22:26:05.414,person-SAFE,SAFE,SAFE,True,False,54.32,56.11
779,2026-03-29 22:26:05.433,person-SAFE,SAFE,SAFE,True,False,41.97,56.33
780,2026-03-29 22:26:05.452,person-SAFE,SAFE,SAFE,True,False,60.54,54.75
781,2026-03-29 22:26:05.472,person-SAFE,SAFE,SAFE,True,False,50.62,51.85
782,2026-03-29 22:26:05.493,person-SAFE,SAFE,SAFE,True,False,59.62,50.45
783,2026-03-29 22:26:05.514,person-SAFE,SAFE,SAFE,True,False,53.89,50.78
784,2026-03-29 22:26:05.535,person-SAFE,SAFE,SAFE,True,False,49.02,50.7
785,2026-03-29 22:26:05.556,person-SAFE,SAFE,SAFE,True,False,55.03,49.55
786,2026-03-29 22:26:05.579,person-SAFE,SAFE,SAFE,True,False,69.06,46.76
787,2026-03-29 22:26:05.602,person-SAFE,SAFE,SAFE,True,False,47.6,45.63
788,2026-03-29 22:26:05.626,person-SAFE,SAFE,SAFE,True,False,56.71,42.4
789,2026-03-29 22:26:05.654,person-SAFE,SAFE,SAFE,True,False,66.18,37.46
790,2026-03-29 22:26:05.682,person-SAFE,SAFE,SAFE,True,False,53.05,38.06
791,2026-03-29 22:26:05.712,person-SAFE,SAFE,SAFE,True,False,72.4,34.24
792,2026-03-29 22:26:05.744,person-SAFE,SAFE,SAFE,True,False,61.09,32.13
793,2026-03-29 22:26:05.778,person-SAFE,SAFE,SAFE,True,False,70.37,30.83
794,2026-03-29 22:26:05.810,person-SAFE,SAFE,SAFE,True,False,78.47,31.51
795,2026-03-29 22:26:05.846,person-SAFE,SAFE,SAFE,True,False,77.76,29.38
796,2026-03-29 22:26:05.878,person-SAFE,SAFE,SAFE,True,False,59.64,32.29
797,2026-03-29 22:26:05.911,person-SAFE,SAFE,SAFE,True,False,68.85,31.4
798,2026-03-29 22:26:05.944,person-SAFE,SAFE,SAFE,True,False,60.67,31.42
799,2026-03-29 22:26:05.979,person-SAFE,SAFE,SAFE,True,False,73.92,29.19
800,2026-03-29 22:26:06.012,person-SAFE,SAFE,SAFE,True,False,58.22,31.74
801,2026-03-29 22:26:06.045,person-SAFE,SAFE,SAFE,True,False,69.28,31.39
802,2026-03-29 22:26:06.078,person-SAFE,SAFE,SAFE,True,False,76.54,30.88
803,2026-03-29 22:26:06.110,person-SAFE,SAFE,SAFE,True,False,53.92,32.19
804,2026-03-29 22:26:06.138,person-SAFE,SAFE,SAFE,True,False,69.65,37.26
805,2026-03-29 22:26:06.156,person-SAFE,SAFE,SAFE,True,False,46.18,59.64
806,2026-03-29 22:26:06.174,person-SAFE,SAFE,SAFE,True,False,44.74,57.86
807,2026-03-29 22:26:06.193,person-SAFE,SAFE,SAFE,True,False,42.69,56.87
808,2026-03-29 22:26:06.211,person-SAFE,SAFE,SAFE,True,False,57.69,56.67
809,2026-03-29 22:26:06.230,person-SAFE,SAFE,SAFE,True,False,63.45,55.05
810,2026-03-29 22:26:06.250,person-SAFE,SAFE,SAFE,True,False,68.02,55.18
811,2026-03-29 22:26:06.268,person-SAFE,SAFE,SAFE,True,False,65.25,57.75
812,2026-03-29 22:26:06.288,person-SAFE,SAFE,SAFE,True,False,54.3,53.72
813,2026-03-29 22:26:06.310,person-SAFE,SAFE,SAFE,True,False,41.96,49.1
